elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.45084378639547,73518236
1400–1999,1,93.27143122533208,119251291
1400–1999,2,92.76048977199476,99331104
1400–1999,3,92.15662791182541,59968893
1400–1999,4,91.7911814710447,42152416
1400–1999,5,91.50841727694677,32456475
1400–1999,6,91.25134550228078,26201512
1400–1999,7,91.03109005003388,21560660
1400–1999,8,90.82998172917131,18086072
1400–1999,9,90.65943857088806,15267506
1400–1999,10,90.49289237820082,13076064
1400–1999,11,90.33469227117644,11242156
1400–1999,12,90.22322419883565,9783972
1400–1999,13,90.10658140448236,8531917
1400–1999,14,89.99832028983388,7515991
1400–1999,15,89.89633347725622,6634213
1400–1999,16,89.81103785823605,5908333
1400–1999,17,89.73110299329605,5262985
1400–1999,18,89.63814224954903,4729254
1400–1999,19,89.58912195509414,4247159
1400–1999,20,89.5052025570427,3840495
1400–1999,21,89.45962778577898,3472819
1400–1999,22,89.3826801100544,3161853
1400–1999,23,89.35924633448455,2870446
1400–1999,24,89.30303373183769,2627740
1400–1999,25,89.21343500846606,2402301
1400–1999,26,89.20910353256737,2209366
1400–1999,27,89.17286658934954,2027080
1400–1999,28,89.11505867685631,1871953
1400–1999,29,89.07669577641327,1721775
1400–1999,30,89.04139531532549,1594764
1400–1999,31,89.03968988997606,1472966
1400–1999,32,88.99873657464097,1367726
1400–1999,33,88.9318136555678,1266257
1400–1999,34,88.88671102604805,1181028
1400–1999,35,88.87751215334987,1099074
1400–1999,36,88.85813006629176,1024943
1400–1999,37,88.76288253211447,954238
1400–1999,38,88.83377288555523,896853
1400–1999,39,88.79583877306685,834579
1400–1999,40,88.75944379858825,785085
1400–1999,41,88.72489811392708,734259
1400–1999,42,88.67129969712504,690631
1400–1999,43,88.66806786673747,646300
1400–1999,44,88.63521804475572,611231
1400–1999,45,88.65229313252554,573239
1400–1999,46,88.6487513921313,541421
1400–1999,47,88.63698232425264,510124
1400–1999,48,88.59993149875467,482541
1400–1999,49,88.60938878904197,455055
1400–1999,50,88.53034368516667,430802
