elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.50536621943097,67993221
1400–1999,1,93.35260917191353,108517929
1400–1999,2,92.8899700591406,92197503
1400–1999,3,92.33484673636498,57010593
1400–1999,4,91.98962915996468,40782363
1400–1999,5,91.72822421856296,31787300
1400–1999,6,91.48409292203206,25907680
1400–1999,7,91.26930970072827,21489393
1400–1999,8,91.07487628310479,18133161
1400–1999,9,90.8971413558527,15407470
1400–1999,10,90.73915136130852,13272569
1400–1999,11,90.60059905818972,11481592
1400–1999,12,90.47656547384729,10044080
1400–1999,13,90.37377609415967,8796078
1400–1999,14,90.25251910713686,7793862
1400–1999,15,90.16841905104957,6898854
1400–1999,16,90.0600811819968,6166289
1400–1999,17,89.99673050712498,5511499
1400–1999,18,89.91863119055621,4971505
1400–1999,19,89.82174177062427,4479286
1400–1999,20,89.78184794199137,4073438
1400–1999,21,89.71707802988438,3692159
1400–1999,22,89.64790300960266,3374603
1400–1999,23,89.5860708792567,3077099
1400–1999,24,89.52331038022571,2823452
1400–1999,25,89.49963679072795,2586110
1400–1999,26,89.45928623882303,2386037
1400–1999,27,89.41502776300332,2193405
1400–1999,28,89.35258451791854,2029680
1400–1999,29,89.31672362155444,1875251
1400–1999,30,89.28439638602104,1742330
1400–1999,31,89.2566654209479,1612588
1400–1999,32,89.2438504509576,1505604
1400–1999,33,89.15619561800844,1396676
1400–1999,34,89.14736842612432,1303788
1400–1999,35,89.15312298386222,1215872
1400–1999,36,89.09410654715991,1137453
1400–1999,37,89.09243106314345,1062608
1400–1999,38,89.03115858562155,996769
1400–1999,39,89.04487146894596,935290
1400–1999,40,89.00105078218397,878184
1400–1999,41,88.98416234592973,823283
1400–1999,42,88.94331795594185,775889
1400–1999,43,88.92907911444878,729128
1400–1999,44,88.96931328921067,689742
1400–1999,45,88.86452665358681,647607
1400–1999,46,88.84944163990397,613883
1400–1999,47,88.86107907711023,577838
1400–1999,48,88.84312457318315,546862
1400–1999,49,88.85178606087318,517228
1400–1999,50,88.80918046148119,491871
1400–1999,51,88.82047972180541,462672
1400–1999,52,88.78499972792346,441214
1400–1999,53,88.76863295434612,417283
1400–1999,54,88.81440268730489,397269
1400–1999,55,88.7872642147932,376807
1400–1999,56,88.80132751441928,358653
1400–1999,57,88.72605666060873,341514
