elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.98475993470937,90565871
1400–1999,1,93.7391342506167,146929125
1400–1999,2,93.275290454042,120531280
1400–1999,3,92.73097550158586,72500719
1400–1999,4,92.39940613078164,50959030
1400–1999,5,92.15724841434829,39184439
1400–1999,6,91.92407748006354,31590384
1400–1999,7,91.72211238887101,25948979
1400–1999,8,91.53757965370335,21707993
1400–1999,9,91.37685402574877,18275108
1400–1999,10,91.22601127029297,15621278
1400–1999,11,91.0972688786679,13398263
1400–1999,12,90.97007534745813,11650447
1400–1999,13,90.89027683680494,10137928
1400–1999,14,90.7809773495936,8913896
1400–1999,15,90.68593384343079,7849614
1400–1999,16,90.60825770817571,6978882
1400–1999,17,90.54371587037674,6199990
1400–1999,18,90.47253788993686,5560230
1400–1999,19,90.39288134704363,4983660
1400–1999,20,90.33140639824583,4511890
1400–1999,21,90.2821517777074,4069596
1400–1999,22,90.24823733678815,3702443
1400–1999,23,90.18701959615287,3358589
1400–1999,24,90.13476305076998,3074379
1400–1999,25,90.08931625049563,2802609
1400–1999,26,90.04894716083645,2578016
1400–1999,27,89.99537102911009,2360057
1400–1999,28,89.94433058861053,2176828
1400–1999,29,89.9267597843778,2001251
1400–1999,30,89.90059750074724,1854271
1400–1999,31,89.88895658086302,1709745
1400–1999,32,89.82494600917927,1587341
1400–1999,33,89.8030823747939,1468618
1400–1999,34,89.78960512046349,1371272
1400–1999,35,89.77231559457748,1271050
1400–1999,36,89.72354511440267,1188012
1400–1999,37,89.73763556538017,1106109
1400–1999,38,89.70391510194676,1034945
1400–1999,39,89.67779787233408,965163
1400–1999,40,89.65766767328233,907204
1400–1999,41,89.64172675506038,849571
1400–1999,42,89.62864119959825,799124
1400–1999,43,89.5924234356594,746911
1400–1999,44,89.55151017448011,705002
1400–1999,45,89.52469488243175,659852
1400–1999,46,89.52651862364502,624917
1400–1999,47,89.52276004374204,585617
1400–1999,48,89.5672305437042,555486
1400–1999,49,89.53185983086306,522271
1400–1999,50,89.49331456246284,494629
1400–1999,51,89.45998713016523,467805
1400–1999,52,89.46511831715429,442965
1400–1999,53,89.48497848834296,417312
1400–1999,54,89.42188902618378,396446
1400–1999,55,89.4072581638521,376584
1400–1999,56,89.35419045196474,356987
1400–1999,57,89.42808003341851,338554
1400–1999,58,89.44290767891513,323351
1400–1999,59,89.4250005886096,307535
1400–1999,60,89.3293379825644,293009
2000+,0,95.1597736861051,47229849
2000+,1,94.76476395985532,73559425
2000+,2,94.16806272361141,48163837
2000+,3,93.62149583622714,26269497
2000+,4,93.30853989661551,17810868
2000+,5,93.05817939653356,13255934
2000+,6,92.82907944334656,10345070
2000+,7,92.6215052310529,8244656
2000+,8,92.45064691165383,6721194
2000+,9,92.2851655303489,5528037
2000+,10,92.16709858973844,4629899
2000+,11,92.0623690822876,3900220
2000+,12,91.9535225080607,3335601
2000+,13,91.85677273989401,2862803
2000+,14,91.78332363857852,2487878
2000+,15,91.71302391932669,2164922
2000+,16,91.64745014847377,1909528
2000+,17,91.58865713332048,1681812
2000+,18,91.51622203887948,1497303
2000+,19,91.48597011496099,1331357
2000+,20,91.41908870571405,1197916
2000+,21,91.3902117397775,1074242
2000+,22,91.30629743442275,974397
2000+,23,91.26246696770617,880985
2000+,24,91.29831289693672,802608
2000+,25,91.20549824201018,728922
2000+,26,91.17964436072592,668748
2000+,27,91.19219955805464,611744
2000+,28,91.13469818461361,561699
2000+,29,91.16526545840473,515737
2000+,30,91.09590152382546,477372
2000+,31,91.10348660088471,439816
2000+,32,91.08634379720934,408522
2000+,33,91.0591340094834,378094
2000+,34,91.04910889653988,351355
2000+,35,91.03679792270106,325568
2000+,36,90.98276896003398,305191
2000+,37,91.00192113924709,283188
2000+,38,90.88442584493085,264868
2000+,39,90.89427761528019,248153
2000+,40,90.86625009905089,233377
2000+,41,90.9511693599337,217532
2000+,42,90.91413763140436,205314
2000+,43,90.89293563520718,192840
2000+,44,90.856826812669,181126
2000+,45,90.83355833314045,169833
2000+,46,90.79263888139569,160805
2000+,47,90.826091222673,151346
2000+,48,90.82654299748532,143576
2000+,49,90.90893768951871,135060
2000+,50,90.7850293211256,128453
2000+,51,90.87896125978249,121406
2000+,52,90.8729588980863,115255
2000+,53,90.7088208364672,108917
2000+,54,90.81406054695564,103661
2000+,55,90.9528758877694,98014
2000+,56,90.79668794331081,93890
2000+,57,90.73272366285298,89129
2000+,58,90.74613742061531,84527
2000+,59,90.75073826620329,80163
2000+,60,90.80883243969073,76969
<1400,0,92.96573527153528,54817491
<1400,1,92.81689564966554,90619164
<1400,2,92.38292870521342,85154466
<1400,3,91.77105750470017,55937588
<1400,4,91.3736282515007,40636084
<1400,5,91.08967018109153,31615612
<1400,6,90.82887578921815,25614012
<1400,7,90.58787681687053,21102408
<1400,8,90.37598808813658,17660484
<1400,9,90.188893831368,14869717
<1400,10,90.0209430593851,12681140
<1400,11,89.8564293647852,10842173
<1400,12,89.70502624309383,9383423
<1400,13,89.5891591213385,8125072
<1400,14,89.46842776461517,7111323
<1400,15,89.356793652106,6225730
<1400,16,89.24906010483578,5496887
<1400,17,89.16190971518805,4851972
<1400,18,89.06713600907027,4325230
<1400,19,88.98739737800933,3844955
<1400,20,88.91289490638158,3449175
<1400,21,88.81285241629092,3083745
<1400,22,88.75015388247267,2778661
<1400,23,88.68735494503801,2498873
<1400,24,88.61364971840908,2263616
<1400,25,88.55389915301393,2039843
<1400,26,88.50556373896315,1860014
<1400,27,88.45239617072268,1686120
<1400,28,88.43156942876162,1538092
<1400,29,88.38911707143393,1401057
<1400,30,88.34475068979751,1283236
<1400,31,88.29183188032144,1171386
<1400,32,88.25001081996618,1076413
<1400,33,88.2475486023451,985123
<1400,34,88.21408668668614,908722
<1400,35,88.15405525236773,832842
<1400,36,88.11738467905735,771320
<1400,37,88.0929681974829,709893
<1400,38,88.00438655799526,657380
<1400,39,88.06905311607645,606507
<1400,40,87.99970350160439,561834
<1400,41,88.00326899487688,518580
<1400,42,87.94192873314698,484106
<1400,43,87.90486589042004,449164
<1400,44,87.86805341393897,418200
<1400,45,87.90607785502895,389078
<1400,46,87.87570358777253,362860
<1400,47,87.79538299656875,337208
<1400,48,87.78320563397253,316365
<1400,49,87.8644810068082,293797
<1400,50,87.71331156625043,275371
<1400,51,87.79156598001259,257531
<1400,52,87.78832167689085,242115
<1400,53,87.67303625665141,225614
<1400,54,87.77896003097068,212662
<1400,55,87.70565488509169,198448
<1400,56,87.77840980107138,187007
<1400,57,87.73593412450312,175354
<1400,58,87.61325550341205,165900
<1400,59,87.62732613040772,155871
<1400,60,87.62082059434776,146802
