elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,94.12213162479217,86389588
1400–1999,1,93.8473079568752,139331533
1400–1999,2,93.3965097014365,113087590
1400–1999,3,92.86690558901108,67432348
1400–1999,4,92.55085513840956,47114527
1400–1999,5,92.31591844743936,36045513
1400–1999,6,92.08498109042668,28982874
1400–1999,7,91.90450588027001,23726949
1400–1999,8,91.71688734591336,19806281
1400–1999,9,91.56843430069208,16643532
1400–1999,10,91.43004451205185,14203993
1400–1999,11,91.30329050789959,12162476
1400–1999,12,91.18097381586415,10561604
1400–1999,13,91.0935832325723,9184890
1400–1999,14,90.99853369183342,8076255
1400–1999,15,90.92070142539545,7102860
1400–1999,16,90.84023608069661,6314763
1400–1999,17,90.77036819534288,5609202
1400–1999,18,90.7106706069702,5031347
1400–1999,19,90.6383967287591,4507203
1400–1999,20,90.58394596754647,4074159
1400–1999,21,90.53448884785864,3675459
1400–1999,22,90.49353820665607,3346078
1400–1999,23,90.44746587408505,3036998
1400–1999,24,90.38913541514434,2773824
1400–1999,25,90.37392140778934,2531957
1400–1999,26,90.32788151546985,2325054
1400–1999,27,90.27501042467756,2129150
1400–1999,28,90.23166094035786,1965061
1400–1999,29,90.20138922627002,1808138
1400–1999,30,90.15304947503954,1675457
1400–1999,31,90.16102606371747,1543419
1400–1999,32,90.11668229664717,1437203
1400–1999,33,90.09799742687791,1328667
1400–1999,34,90.05683584996102,1238821
1400–1999,35,90.0721724188169,1145152
1400–1999,36,90.01962076174762,1073881
1400–1999,37,89.99138960870833,1000298
1400–1999,38,89.95973443440926,936403
1400–1999,39,89.92949799894039,872987
1400–1999,40,89.92771044598707,818833
1400–1999,41,89.91396185895812,764949
1400–1999,42,89.91211593763245,720920
1400–1999,43,89.90363233249751,675830
1400–1999,44,89.8174768777912,637042
1400–1999,45,89.863768965634,598222
1400–1999,46,89.84227749455812,564419
1400–1999,47,89.84446776642685,530415
1400–1999,48,89.7623881766545,501980
1400–1999,49,89.84550638530493,473295
1400–1999,50,89.7341455756786,447230
1400–1999,51,89.73709250708046,422236
1400–1999,52,89.70962733631012,402554
1400–1999,53,89.75202956024827,379853
1400–1999,54,89.75995684575045,361033
1400–1999,55,89.76035090425584,340086
1400–1999,56,89.68577124812336,324933
1400–1999,57,89.74496111247598,306202
1400–1999,58,89.69822563353866,292729
1400–1999,59,89.70137932326669,278119
1400–1999,60,89.68556370848748,265585
2000+,0,95.23332711401915,49961760
2000+,1,94.84304295560479,76885061
2000+,2,94.26868842736853,49458331
2000+,3,93.74064697977211,26727512
