elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.47111711298132,70723062
1400–1999,1,93.20328470781166,115381149
1400–1999,2,92.64631003345005,94103876
1400–1999,3,92.01051271697881,55751725
1400–1999,4,91.63854533251322,38731248
1400–1999,5,91.35742876346269,29587085
1400–1999,6,91.09189480903551,23777259
1400–1999,7,90.87294550608155,19481083
1400–1999,8,90.65998619937727,16281988
1400–1999,9,90.47554048556539,13714274
1400–1999,10,90.31511259868019,11721399
1400–1999,11,90.17150027117796,10052821
1400–1999,12,90.04297298449809,8726474
1400–1999,13,89.92533162771795,7595269
1400–1999,14,89.82685767119511,6682793
1400–1999,15,89.73290465647764,5886065
1400–1999,16,89.64887384621115,5239926
1400–1999,17,89.56732455013939,4652998
1400–1999,18,89.4728104085994,4178083
1400–1999,19,89.42253149603074,3746681
1400–1999,20,89.34725597501944,3387205
1400–1999,21,89.28318508759341,3057906
1400–1999,22,89.22626500818676,2780588
1400–1999,23,89.19279912268458,2526215
1400–1999,24,89.11764037972634,2308014
1400–1999,25,89.0855359447661,2108471
1400–1999,26,89.01552232374297,1939768
1400–1999,27,88.99953524577647,1773804
1400–1999,28,88.94459799740143,1639618
1400–1999,29,88.90541583682649,1505532
1400–1999,30,88.90226275935953,1395148
1400–1999,31,88.85347754887094,1288268
1400–1999,32,88.81543686001636,1199015
1400–1999,33,88.762789891994,1107649
1400–1999,34,88.78272696992597,1031106
1400–1999,35,88.72369201579077,958951
1400–1999,36,88.7007545261438,897730
1400–1999,37,88.66277322112943,834572
1400–1999,38,88.65388951067054,780943
1400–1999,39,88.6183513929327,729209
1400–1999,40,88.5807186484737,684531
1400–1999,41,88.56524924172612,640516
1400–1999,42,88.57737796164523,602093
1400–1999,43,88.58708232154257,564927
1400–1999,44,88.51875924768858,532140
1400–1999,45,88.50632137186595,499625
1400–1999,46,88.51409944638687,472468
1400–1999,47,88.51283409796036,443947
1400–1999,48,88.46258406699846,420486
1400–1999,49,88.45474518136204,397173
1400–1999,50,88.46742162053037,376074
1400–1999,51,88.46613861065111,354714
1400–1999,52,88.38374612048393,336243
1400–1999,53,88.33574488523487,318008
1400–1999,54,88.41647218331997,303504
1400–1999,55,88.32859421252923,286193
1400–1999,56,88.36657252999471,272382
1400–1999,57,88.31521234200969,257676
1400–1999,58,88.34021521618078,246352
1400–1999,59,88.39064786090333,233152
1400–1999,60,88.32210414462372,222873
2000+,0,94.78537728653376,40606189
2000+,1,94.3048726564874,64829524
2000+,2,93.55333622758745,43498056
2000+,3,92.86507127318251,23719977
2000+,4,92.44495256775564,16037352
2000+,5,92.131139747339,11912954
2000+,6,91.84800917361224,9296064
2000+,7,91.59870937006907,7405243
2000+,8,91.39474920580705,6039926
2000+,9,91.21505499780378,4972129
2000+,10,91.06241047191001,4160884
2000+,11,90.91891845667693,3502377
2000+,12,90.80794896259586,2994496
2000+,13,90.71377807124955,2567560
2000+,14,90.60805161008474,2232708
2000+,15,90.5434407023704,1943642
2000+,16,90.45888430378425,1712302
2000+,17,90.37662859350972,1504268
2000+,18,90.30999326557455,1343427
2000+,19,90.24761060325773,1190521
2000+,20,90.20712840166954,1070752
2000+,21,90.1366239507589,961652
2000+,22,90.10281107226771,868910
2000+,23,90.12416762168621,786902
2000+,24,90.02018828988008,715224
2000+,25,89.99096327659915,650015
2000+,26,89.98369607866123,594189
2000+,27,89.92014313482345,543408
2000+,28,89.87558407984162,501345
2000+,29,89.85992924567515,459528
2000+,30,89.85028117148687,424899
2000+,31,89.78688710980742,391020
2000+,32,89.79584654006572,362497
2000+,33,89.78919224448735,336396
2000+,34,89.68666780726092,311876
2000+,35,89.69387464737265,289549
2000+,36,89.71921587896982,271252
2000+,37,89.67282965803484,251315
2000+,38,89.65648203053595,235632
2000+,39,89.78559338280428,220355
2000+,40,89.6460874206381,207149
2000+,41,89.56486605233982,193110
2000+,42,89.67349036151796,181744
2000+,43,89.63279415790677,170475
2000+,44,89.56219423590778,160154
2000+,45,89.57574534679317,151469
2000+,46,89.6674168318561,142050
2000+,47,89.58962640961317,133814
2000+,48,89.50823894274531,126937
2000+,49,89.59013718142297,119695
2000+,50,89.56319394763243,113601
2000+,51,89.38920109515465,107351
2000+,52,89.47183673342384,101988
2000+,53,89.44816561675358,96074
2000+,54,89.46424211422999,92146
2000+,55,89.53412159977478,87349
2000+,56,89.501804646876,82717
2000+,57,89.50834266804506,78566
2000+,58,89.55092491493869,74879
2000+,59,89.46814392867968,71005
2000+,60,89.51990510543719,68493
<1400,0,92.60241650646698,33376482
<1400,1,92.44403268441572,55515728
<1400,2,91.92339273037061,51683598
<1400,3,91.24860268158129,33124118
<1400,4,90.83486681333216,23518583
