elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.50275151627405,76483033
1400–1999,1,93.25008774662871,122992496
1400–1999,2,92.7170678477588,100389966
1400–1999,3,92.10113785938825,59991188
1400–1999,4,91.72905777700132,42007693
1400–1999,5,91.44861333343856,32225409
1400–1999,6,91.18865033112299,25964841
1400–1999,7,90.9617006783748,21326846
1400–1999,8,90.76000346522707,17860079
1400–1999,9,90.58884159224496,15051375
1400–1999,10,90.42532582501691,12888174
1400–1999,11,90.28798371537705,11061078
1400–1999,12,90.1551997497304,9632132
1400–1999,13,90.04886207179808,8387554
1400–1999,14,89.9299190027452,7395917
1400–1999,15,89.8488517237889,6518428
1400–1999,16,89.7587522880874,5807575
1400–1999,17,89.68161704866978,5168179
1400–1999,18,89.59984669554329,4639126
1400–1999,19,89.53654328874308,4162347
1400–1999,20,89.45005099655492,3771443
1400–1999,21,89.40998532474543,3401985
1400–1999,22,89.34621689256535,3099747
1400–1999,23,89.28651643494274,2816566
1400–1999,24,89.25225297504984,2579562
1400–1999,25,89.188250419741,2356150
1400–1999,26,89.14803340050837,2165350
1400–1999,27,89.12710793792165,1985323
1400–1999,28,89.05980609849459,1834448
1400–1999,29,89.02523840752079,1687645
1400–1999,30,88.95372022270105,1566751
1400–1999,31,89.00301046632445,1445785
1400–1999,32,88.92749843935596,1344265
1400–1999,33,88.87518223803816,1246087
1400–1999,34,88.87647464943507,1161642
1400–1999,35,88.83799439724012,1079204
1400–1999,36,88.80525353058749,1009552
1400–1999,37,88.80231938907889,939267
1400–1999,38,88.79118972545216,880526
1400–1999,39,88.79431511001977,822757
1400–1999,40,88.75486560433637,774251
1400–1999,41,88.7509551894215,724448
1400–1999,42,88.68079391777134,680482
1400–1999,43,88.72189340835023,639730
1400–1999,44,88.63329986798593,601768
1400–1999,45,88.59769145278257,565896
1400–1999,46,88.5947086855512,535838
1400–1999,47,88.63032548910732,503808
1400–1999,48,88.57685030456904,475952
1400–1999,49,88.59854830874497,450005
1400–1999,50,88.55169232738906,426759
1400–1999,51,88.53637096509047,403417
1400–1999,52,88.57853758659232,381592
1400–1999,53,88.5588547649678,361317
1400–1999,54,88.46806149792239,344615
1400–1999,55,88.53236255711673,325493
1400–1999,56,88.45086166908854,310482
1400–1999,57,88.41212460026944,294134
1400–1999,58,88.5730944488263,280184
1400–1999,59,88.45408674132612,265409
1400–1999,60,88.4947443640224,254019
2000+,0,94.83723069973979,44367843
2000+,1,94.36166935847021,70525299
2000+,2,93.6135231721521,47221200
2000+,3,92.92796800565645,25895903
2000+,4,92.51744436921774,17601537
2000+,5,92.20056246954219,13107464
2000+,6,91.91182113427209,10248041
2000+,7,91.6937328458633,8169290
2000+,8,91.48261864908778,6669198
2000+,9,91.29985393305685,5494538
2000+,10,91.14036180343903,4600704
2000+,11,90.98388154465928,3879257
2000+,12,90.86541758428139,3312200
2000+,13,90.77503372917681,2842158
2000+,14,90.68918430362477,2468971
2000+,15,90.59670664634254,2149735
2000+,16,90.51377594384279,1893384
2000+,17,90.45615937850437,1669768
2000+,18,90.39102255020056,1486920
2000+,19,90.32552948872286,1321204
2000+,20,90.27390319796696,1187736
2000+,21,90.24004387227285,1064603
2000+,22,90.18103474038111,964860
2000+,23,90.13430318794207,872186
2000+,24,90.1182078144473,795177
2000+,25,90.05447219208295,722974
2000+,26,90.06162055265911,661938
2000+,27,90.00862170693775,604899
2000+,28,89.97027487920046,555674
2000+,29,89.90263989420454,510677
2000+,30,89.91565803593615,472043
2000+,31,89.92718666434594,434601
2000+,32,89.86896432331623,403405
2000+,33,89.875624522401,374044
2000+,34,89.8200576738025,348930
2000+,35,89.82414667920271,323077
2000+,36,89.82788840149111,300970
2000+,37,89.69850184483604,280823
2000+,38,89.71105639377593,262903
2000+,39,89.74584445304077,243812
2000+,40,89.71434618807993,230200
2000+,41,89.68259782278551,214444
2000+,42,89.72377084417079,202299
2000+,43,89.65862163300825,189937
2000+,44,89.65435252127483,179494
2000+,45,89.76142603739196,168372
2000+,46,89.72400278808107,159461
2000+,47,89.71917642862483,149310
2000+,48,89.63090002648396,141514
2000+,49,89.64763118218913,133461
2000+,50,89.64414345718899,127329
2000+,51,89.6601156455805,120142
2000+,52,89.67346091314715,113831
2000+,53,89.54616879964989,107390
2000+,54,89.64203183150394,102814
2000+,55,89.60340225866139,97493
2000+,56,89.57521438925527,93497
2000+,57,89.5552941678301,87964
2000+,58,89.65654076940396,83847
2000+,59,89.71233064343001,79766
2000+,60,89.58062134703479,76189
<1400,0,92.59166032971217,38596584
<1400,1,92.4597413818087,62783933
<1400,2,91.9767287523119,57871158
<1400,3,91.31420824002785,37255170
<1400,4,90.89786356254838,26558777
<1400,5,90.6102928436201,20409001
<1400,6,90.33976342461916,16404439
<1400,7,90.10185100943865,13458069
<1400,8,89.86920454031514,11236977
<1400,9,89.67524439197508,9445823
<1400,10,89.4991289631705,8041497
<1400,11,89.33567338105142,6872617
<1400,12,89.19066570249076,5945675
<1400,13,89.05425300961714,5153815
<1400,14,88.94224302949745,4511676
<1400,15,88.80506474290462,3950181
<1400,16,88.7281704464033,3488166
<1400,17,88.60262004087576,3081458
<1400,18,88.52220646754854,2748413
<1400,19,88.4547835051485,2444045
<1400,20,88.3430305716674,2189044
<1400,21,88.30033429616697,1963229
<1400,22,88.20172640586735,1770593
<1400,23,88.14129213956795,1594428
<1400,24,88.09239754518472,1446600
<1400,25,88.01924956408637,1305441
<1400,26,87.9990096688389,1191166
<1400,27,87.88127586816874,1080431
<1400,28,87.84360095218085,990334
<1400,29,87.79604074273774,900215
<1400,30,87.79670308201287,825225
<1400,31,87.72965184075045,754245
<1400,32,87.65859846489575,694210
<1400,33,87.67033062684852,638039
<1400,34,87.61541444372818,587507
<1400,35,87.58036326398513,539043
<1400,36,87.58091932916828,498707
<1400,37,87.49593264570018,459840
<1400,38,87.4304185444999,426146
<1400,39,87.44744403332255,393308
<1400,40,87.40489248715674,366438
<1400,41,87.35089560802346,339687
<1400,42,87.3861986595551,316610
<1400,43,87.33886354931653,293217
<1400,44,87.32796278098438,273296
<1400,45,87.2460191439054,254440
<1400,46,87.2662931691579,239231
<1400,47,87.27300421015177,222220
<1400,48,87.16746258901406,207205
<1400,49,87.30686129813688,194416
<1400,50,87.20515130803791,182118
<1400,51,87.19659953612994,170342
<1400,52,87.24301378059072,160067
<1400,53,87.19791997945336,150158
<1400,54,87.15519740112667,141225
<1400,55,87.21499321982571,132190
<1400,56,87.28770129703797,124227
<1400,57,87.230728277877,117271
<1400,58,87.17855721490675,110795
<1400,59,87.26280572550549,103894
<1400,60,87.25443778588897,98904
