elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,94.14904412217547,85218128
1400–1999,1,93.87124792223094,137582997
1400–1999,2,93.41777139397207,111620413
1400–1999,3,92.87973507595498,66460103
1400–1999,4,92.56589862696757,46392259
1400–1999,5,92.32794354662751,35502398
1400–1999,6,92.1172751220412,28515951
1400–1999,7,91.9163843419816,23353165
1400–1999,8,91.74970006588016,19494393
1400–1999,9,91.58741881687723,16396073
1400–1999,10,91.44680648046486,13985028
1400–1999,11,91.31303450583468,11971987
1400–1999,12,91.20883471032614,10390980
1400–1999,13,91.12003630202582,9031202
1400–1999,14,91.0199642260325,7939825
1400–1999,15,90.93441078883379,6976739
1400–1999,16,90.85183798310442,6204023
1400–1999,17,90.77935473192755,5511806
1400–1999,18,90.72373496074637,4943739
1400–1999,19,90.65703870170442,4430240
1400–1999,20,90.6091032529232,4005426
1400–1999,21,90.55211338176574,3607824
1400–1999,22,90.4993986298713,3281824
1400–1999,23,90.46898535641898,2979829
1400–1999,24,90.42360070505433,2726036
1400–1999,25,90.36578086037952,2485063
1400–1999,26,90.30639496732418,2279190
1400–1999,27,90.3141508009121,2091712
1400–1999,28,90.2508768067709,1931242
1400–1999,29,90.24565607484759,1773071
1400–1999,30,90.20207150444242,1643920
1400–1999,31,90.16085668205324,1515067
1400–1999,32,90.14637766127144,1406773
1400–1999,33,90.08837124648437,1304865
1400–1999,34,90.05735667379322,1214064
1400–1999,35,90.05964140820448,1128571
1400–1999,36,90.00177229842048,1056806
1400–1999,37,90.03959401258994,982428
1400–1999,38,90.00057893017214,918009
1400–1999,39,89.95858976292796,857646
1400–1999,40,90.00044978441181,805013
1400–1999,41,89.97317113161652,753994
1400–1999,42,89.93607632166197,709342
1400–1999,43,89.88599809195468,664184
1400–1999,44,89.88253337997848,625965
1400–1999,45,89.86278885826424,588204
1400–1999,46,89.8123211307513,555299
1400–1999,47,89.89539807210316,523777
1400–1999,48,89.80767581525737,493936
1400–1999,49,89.81912911890693,465076
1400–1999,50,89.84185767190728,440905
1400–1999,51,89.8142988930609,416417
1400–1999,52,89.77788336544,394454
1400–1999,53,89.80987495022228,373228
1400–1999,54,89.76274057137051,355371
1400–1999,55,89.71210463272364,336230
1400–1999,56,89.75513946022524,320130
1400–1999,57,89.7630837877199,303374
1400–1999,58,89.72291186041699,288271
1400–1999,59,89.77518290832818,273903
1400–1999,60,89.86019869453432,260961
2000+,0,95.23278801856684,49581787
2000+,1,94.84181014968195,76082075
2000+,2,94.26574438344679,48607505
2000+,3,93.73522065541209,26157818
2000+,4,93.440330455042,17590831
2000+,5,93.20758509337762,13017821
2000+,6,92.99098836833028,10141133
2000+,7,92.80498898408501,8072790
2000+,8,92.659064473482,6576637
2000+,9,92.49556833908902,5399560
2000+,10,92.37171449040007,4526054
2000+,11,92.25741896288748,3808147
2000+,12,92.16137233134575,3249785
2000+,13,92.07042494737027,2788434
2000+,14,92.00433714868741,2422777
2000+,15,91.92065130207685,2108426
2000+,16,91.86312016322063,1856415
2000+,17,91.79380907532195,1633302
2000+,18,91.73413494161045,1455669
2000+,19,91.68437424603607,1295970
2000+,20,91.6389188809968,1164472
2000+,21,91.63814163241429,1044668
2000+,22,91.6011143403615,945189
2000+,23,91.51464881316583,853945
2000+,24,91.4697618244708,776618
2000+,25,91.49547322283374,707477
2000+,26,91.4264356323497,647782
2000+,27,91.41876143000202,590452
2000+,28,91.33940227917678,542887
2000+,29,91.35180235192543,498941
2000+,30,91.36468784518539,461284
2000+,31,91.30458057384047,424556
2000+,32,91.26076607613612,394274
2000+,33,91.31627114020452,364634
2000+,34,91.278482595449,339781
2000+,35,91.23821783652917,314470
2000+,36,91.18675423316883,294271
2000+,37,91.22774933669139,272723
2000+,38,91.16388894425214,255596
2000+,39,91.29451154076418,238915
2000+,40,91.20779956063518,223393
2000+,41,91.08577596638364,209501
2000+,42,91.21850733571728,196204
2000+,43,91.15986034329848,185046
2000+,44,91.15280264786735,173869
2000+,45,91.1251207655636,163464
2000+,46,91.00291264609211,154238
2000+,47,91.1198846768816,145810
2000+,48,91.1625600153144,137390
2000+,49,91.12980705445688,129398
2000+,50,91.04803362336294,122990
2000+,51,91.12619931431324,115474
2000+,52,91.10014275162561,109853
2000+,53,91.04214536115076,104286
2000+,54,91.1120916774557,98724
2000+,55,91.04117354990123,93630
2000+,56,91.07166552745096,89383
2000+,57,91.08240023615735,84611
2000+,58,91.04813267119579,81048
2000+,59,90.96732028721154,76903
2000+,60,90.98124237150192,73794
<1400,0,93.18482436387688,41109974
<1400,1,93.01709772630682,66939444
<1400,2,92.57934552214816,63233288
<1400,3,91.96833088506237,41414734
