elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.45690678978124,73123925
1400–1999,1,93.23233738858998,118079394
1400–1999,2,92.72418480539434,97893684
1400–1999,3,92.11658550161435,59005316
1400–1999,4,91.75246575350955,41467609
1400–1999,5,91.4740565363697,31920852
1400–1999,6,91.21355978799573,25779739
1400–1999,7,90.99721199716659,21208169
1400–1999,8,90.78593495084583,17778122
1400–1999,9,90.60752303814206,15009072
1400–1999,10,90.45328725030632,12844437
1400–1999,11,90.3111572259838,11032895
1400–1999,12,90.17984589979834,9606504
1400–1999,13,90.06199539719366,8368676
1400–1999,14,89.97361343797145,7378494
1400–1999,15,89.86278026797343,6507226
1400–1999,16,89.77591409571863,5797599
1400–1999,17,89.69851936911037,5160289
1400–1999,18,89.6405943301019,4638502
1400–1999,19,89.55794540757682,4158251
1400–1999,20,89.48440426486212,3765520
1400–1999,21,89.4334240539134,3399297
1400–1999,22,89.35803629861992,3094937
1400–1999,23,89.31560432799232,2817445
1400–1999,24,89.26647869966963,2576700
1400–1999,25,89.22129684677695,2353316
1400–1999,26,89.16446502893679,2162078
1400–1999,27,89.10906163009172,1983243
1400–1999,28,89.06139525154096,1831559
1400–1999,29,89.04125858512523,1687056
1400–1999,30,89.01318044467827,1561224
1400–1999,31,88.9744650561503,1442334
1400–1999,32,88.95135513387973,1341808
1400–1999,33,88.89358129900616,1245175
1400–1999,34,88.8632751773091,1158288
1400–1999,35,88.86061783929863,1075641
1400–1999,36,88.83655178902505,1006702
1400–1999,37,88.78962504520007,937110
1400–1999,38,88.7859045534377,877329
1400–1999,39,88.71700571485728,819457
1400–1999,40,88.73596562529863,770706
1400–1999,41,88.7256138413597,719592
1400–1999,42,88.67670948186347,679092
1400–1999,43,88.69776896562055,637961
1400–1999,44,88.63165344808468,599024
1400–1999,45,88.64714845761604,563060
1400–1999,46,88.56403518991904,532523
1400–1999,47,88.58613032299223,501739
1400–1999,48,88.58991958074725,474162
1400–1999,49,88.56396002448804,446657
1400–1999,50,88.5786473346937,424723
1400–1999,51,88.54775535340298,400227
1400–1999,52,88.5645378038113,378749
1400–1999,53,88.53292010643133,358732
1400–1999,54,88.49604429537533,341089
1400–1999,55,88.50170861892101,323321
1400–1999,56,88.4780607551717,308304
1400–1999,57,88.45527685145571,290773
1400–1999,58,88.47893969634119,278388
1400–1999,59,88.51557692499793,264577
1400–1999,60,88.46670579721933,251690
2000+,0,94.81313347973564,44612767
2000+,1,94.35395602657613,71404128
2000+,2,93.63169264587503,48484372
2000+,3,92.9604064716744,26717341
