elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.41596116733233,80453478
1400–1999,1,93.28569326800739,129203143
1400–1999,2,92.80950005927961,107001964
1400–1999,3,92.23653094644254,64708462
1400–1999,4,91.88156156756874,45584010
1400–1999,5,91.61678952666283,35142870
1400–1999,6,91.37422578218052,28399516
1400–1999,7,91.15530188127364,23380277
1400–1999,8,90.95190756293022,19624533
1400–1999,9,90.79065900444364,16590393
1400–1999,10,90.6267818885338,14218710
1400–1999,11,90.49519866063521,12242670
1400–1999,12,90.36150061389543,10658923
1400–1999,13,90.25440864233532,9295300
1400–1999,14,90.13522206495966,8207179
1400–1999,15,90.06287457956543,7241851
1400–1999,16,89.98507171468745,6459573
1400–1999,17,89.8800776604214,5757330
1400–1999,18,89.8024134275464,5174114
1400–1999,19,89.72021517293014,4644211
1400–1999,20,89.66960493720387,4211721
1400–1999,21,89.59838148359253,3806003
1400–1999,22,89.54999681989894,3468995
1400–1999,23,89.51975604425404,3156582
1400–1999,24,89.44511154017235,2889224
1400–1999,25,89.40381274512225,2640056
1400–1999,26,89.34503714957643,2430995
1400–1999,27,89.31357597535384,2226054
1400–1999,28,89.25396386801849,2060711
1400–1999,29,89.26118819481287,1899071
1400–1999,30,89.19329006045521,1758015
1400–1999,31,89.16893639625596,1623600
1400–1999,32,89.12332028272512,1511882
1400–1999,33,89.10276432544019,1399990
1400–1999,34,89.09744922096564,1308540
1400–1999,35,89.02337031296027,1212143
1400–1999,36,89.03939609219596,1136605
1400–1999,37,88.94734320016019,1056617
1400–1999,38,88.98162853030492,990081
1400–1999,39,88.97802475993134,928369
1400–1999,40,88.89849632458491,870717
1400–1999,41,88.87302025507378,812922
1400–1999,42,88.84698801967494,767196
1400–1999,43,88.90037426657886,719318
1400–1999,44,88.81230788168457,677225
1400–1999,45,88.79825925747748,636664
1400–1999,46,88.78636279676867,601013
1400–1999,47,88.7622847519876,567211
1400–1999,48,88.77654343046804,536052
1400–1999,49,88.75233667726276,505144
1400–1999,50,88.77809468322806,479987
1400–1999,51,88.77069048124788,453057
1400–1999,52,88.69233497302075,428332
1400–1999,53,88.7212896520379,405396
1400–1999,54,88.72016866232224,387158
1400–1999,55,88.68541813708882,364978
1400–1999,56,88.7200758209012,347296
1400–1999,57,88.66706642083294,329876
1400–1999,58,88.62390893864507,314397
1400–1999,59,88.67002491310816,298210
1400–1999,60,88.66267702626244,285759
2000+,0,94.84650270913504,45520573
2000+,1,94.43781824448978,71797436
2000+,2,93.75179154572281,47551541
2000+,3,93.1258060008334,25994321
2000+,4,92.74088575674902,17633488
2000+,5,92.43988834006628,13099296
2000+,6,92.17460561484889,10203702
2000+,7,91.94711628674851,8117294
2000+,8,91.76687107450059,6617892
2000+,9,91.59600135922302,5438742
2000+,10,91.44317807524355,4556841
2000+,11,91.33133016213245,3833843
2000+,12,91.21214673253164,3277384
2000+,13,91.10811730304398,2808019
2000+,14,91.00763210215058,2439515
2000+,15,90.9410303202558,2122800
2000+,16,90.85178909681666,1869042
2000+,17,90.8004668799558,1648174
2000+,18,90.72548918497645,1467205
2000+,19,90.66761354342471,1304487
2000+,20,90.60116832853679,1171067
2000+,21,90.55530993666538,1048690
2000+,22,90.51281602095476,951391
2000+,23,90.47996274507126,859325
2000+,24,90.45298061995017,782195
2000+,25,90.41539456409606,709166
2000+,26,90.3507597402594,648851
2000+,27,90.37374762020295,594294
2000+,28,90.30987422565791,547222
2000+,29,90.28171925473814,502644
2000+,30,90.26687609624713,463532
2000+,31,90.21864363298673,428599
2000+,32,90.23627450754356,397553
2000+,33,90.24604157136321,368510
2000+,34,90.11118414249835,341556
2000+,35,90.17953216451957,317594
2000+,36,90.19268444675633,295580
2000+,37,90.12447672110461,275271
2000+,38,90.10191525822269,258880
2000+,39,90.10152900232626,241234
2000+,40,90.08898103894421,225897
2000+,41,90.02841404759833,210678
2000+,42,90.07712492616925,199454
2000+,43,89.96478403228282,186832
2000+,44,90.0454526427815,176250
2000+,45,90.01006730530933,165488
2000+,46,90.11335044415536,156415
2000+,47,89.99291572226157,146738
2000+,48,90.02287208096381,138548
2000+,49,90.0495904985208,131324
2000+,50,90.04040245753542,124336
2000+,51,89.97732195669944,117158
2000+,52,89.96044877079434,111923
2000+,53,90.02492105202853,105470
2000+,54,89.93687314317366,100608
2000+,55,89.9280931015911,95447
2000+,56,89.9606908176632,90997
2000+,57,90.01186710054066,86388
2000+,58,90.05098150769356,82590
2000+,59,89.8977309793383,78011
2000+,60,89.98933452799467,74926
