elo_band,time_bin,avg_accuracy,n_moves
1400–1999,54,89.75799127270459,394168
1400–1999,55,89.6607270956414,371849
1400–1999,56,89.65751863276213,355009
1400–1999,57,89.65955138366832,334575
1400–1999,58,89.70401328129704,320348
1400–1999,59,89.67638045580193,303010
1400–1999,60,89.61503589017364,288929
2000+,0,95.21729517575174,50071676
2000+,1,94.82574605702384,77714420
2000+,2,94.24241818041675,50504532
2000+,3,93.71638470371465,27457164
2000+,4,93.41126876975304,18581675
2000+,5,93.17438099764365,13791302
2000+,6,92.95835721836904,10765646
2000+,7,92.75346869908432,8567269
2000+,8,92.60228679570953,6990346
2000+,9,92.45350267505216,5744972
2000+,10,92.3294559726725,4814228
2000+,11,92.22606799326422,4051767
2000+,12,92.12232504887592,3464825
2000+,13,92.04442029008102,2972762
2000+,14,91.93501756138544,2584339
2000+,15,91.88399115400543,2249348
2000+,16,91.81903387305435,1981588
2000+,17,91.7690605082602,1746969
2000+,18,91.69952314087986,1555966
2000+,19,91.65293654258168,1386355
2000+,20,91.60811961005327,1246329
2000+,21,91.58966504596249,1117969
2000+,22,91.53190289660893,1012749
2000+,23,91.52069170645156,914600
2000+,24,91.4743426045704,833867
2000+,25,91.4386315529312,757470
2000+,26,91.39003475676925,694545
2000+,27,91.39587842098751,634898
2000+,28,91.36869502257221,584295
2000+,29,91.33846647398508,535861
2000+,30,91.28738828004555,496636
2000+,31,91.28507745732126,457181
2000+,32,91.25400465287909,423064
2000+,33,91.23319115702695,391822
2000+,34,91.20690287380086,365316
2000+,35,91.20490390929933,338895
2000+,36,91.17810637185251,317020
2000+,37,91.12380341775936,294459
2000+,38,91.16822755837416,276464
2000+,39,91.11496759542773,257370
2000+,40,91.14948382868369,243086
2000+,41,91.14167204590512,226508
2000+,42,91.10575395836227,213633
2000+,43,91.04358568903716,199881
2000+,44,91.03895135679404,187854
2000+,45,91.07600148956914,176019
2000+,46,91.06256380431637,167418
2000+,47,91.04997659796581,157081
2000+,48,91.01341097535654,149016
2000+,49,91.07463012429223,139673
2000+,50,91.09105052109128,133118
2000+,51,91.02048416706522,126462
2000+,52,91.08183123556171,119102
2000+,53,90.94651263845564,112862
2000+,54,91.032718441047,107444
2000+,55,91.06414231173092,102319
2000+,56,90.88489995606626,96748
2000+,57,91.01490245838964,91787
2000+,58,90.95313779947598,87599
2000+,59,90.97356283881238,83482
2000+,60,90.98697208749738,79884
<1400,0,93.1109270246544,50781363
<1400,1,92.93426122718735,82769834
<1400,2,92.49755879926279,77183389
<1400,3,91.89840188863471,50419078
<1400,4,91.50695624663079,36452731
<1400,5,91.2334190427775,28237519
<1400,6,90.97451468019752,22797340
<1400,7,90.75622990944827,18698368
<1400,8,90.53288482930941,15612046
<1400,9,90.36637794731368,13114096
<1400,10,90.19286754864213,11157415
<1400,11,90.04112314416935,9519933
<1400,12,89.9087680413599,8229133
<1400,13,89.77180776018011,7117638
<1400,14,89.65075700522026,6218619
<1400,15,89.5644611914109,5446407
<1400,16,89.44454346807329,4803951
<1400,17,89.36344221077209,4240823
<1400,18,89.29889268277263,3773130
<1400,19,89.20141003725685,3352412
<1400,20,89.13101820985307,3004610
<1400,21,89.10011457489021,2687166
<1400,22,88.97733588475263,2422166
<1400,23,88.9493211011516,2181784
<1400,24,88.89438319005528,1972050
<1400,25,88.82461666689994,1779997
<1400,26,88.77956072114642,1622593
<1400,27,88.75054778938156,1470857
<1400,28,88.69261067704728,1343444
<1400,29,88.64462151867738,1223803
<1400,30,88.59947927766102,1117835
<1400,31,88.5309604378474,1022294
<1400,32,88.53424021130157,939761
<1400,33,88.47832221838846,861175
<1400,34,88.40515180132107,793870
<1400,35,88.37437003780526,729473
<1400,36,88.37101152090884,673369
<1400,37,88.39258068022211,621109
<1400,38,88.29863273702749,575864
<1400,39,88.32195543654665,530790
<1400,40,88.33455840630147,493799
<1400,41,88.24262266864932,455985
<1400,42,88.19575792552925,424782
<1400,43,88.24879456684809,393757
<1400,44,88.20144130713678,369096
<1400,45,88.11296592953407,341294
<1400,46,88.13548729081863,318659
<1400,47,88.14846137210739,296775
<1400,48,88.10542586603312,278467
<1400,49,88.08274936214661,259645
<1400,50,88.08593116518752,243030
<1400,51,88.07751089385799,226822
<1400,52,88.06696582502167,213046
<1400,53,88.02430877341956,198916
<1400,54,88.06775895811889,187910
<1400,55,88.04174374414173,175806
<1400,56,87.9551246805862,164925
<1400,57,88.01672734475373,155719
<1400,58,87.96849728727362,147016
<1400,59,87.9051984482907,137785
<1400,60,87.91781073716113,130247
