elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.53886672989495,170236175
1400–1999,1,93.37191192433268,278889927
1400–1999,2,92.9280886185839,235559059
1400–1999,3,92.38456196960891,142641921
1400–1999,4,92.04948575658445,100319474
1400–1999,5,91.80111678313823,77173681
1400–1999,6,91.55365081346324,62218232
1400–1999,7,91.34756054324282,51195434
1400–1999,8,91.1491935886028,42918925
1400–1999,9,90.98055025939182,36283709
1400–1999,10,90.8286226689732,31095988
1400–1999,11,90.69457201465409,26755325
1400–1999,12,90.57669046965304,23307405
1400–1999,13,90.45626837093761,20344351
1400–1999,14,90.3558124247932,17943932
1400–1999,15,90.26435160093071,15842408
1400–1999,16,90.17949843025809,14123722
1400–1999,17,90.08929051847264,12590404
1400–1999,18,90.0244733141743,11332160
1400–1999,19,89.95464305881814,10177163
1400–1999,20,89.89237092099425,9232174
1400–1999,21,89.83736076231271,8344745
1400–1999,22,89.76553427977477,7613412
1400–1999,23,89.72362890863376,6924449
1400–1999,24,89.68624837590079,6353405
1400–1999,25,89.60758411391446,5808616
1400–1999,26,89.58183192235087,5350792
1400–1999,27,89.53616724866471,4911978
1400–1999,28,89.50879959044869,4549085
1400–1999,29,89.49635475210751,4193110
1400–1999,30,89.45199286726636,3893401
1400–1999,31,89.40993576939182,3598913
1400–1999,32,89.36374369316931,3354060
1400–1999,33,89.34976903881517,3109790
1400–1999,34,89.32588746038344,2902786
1400–1999,35,89.29219325053222,2703089
1400–1999,36,89.25661814542416,2533532
1400–1999,37,89.24468669859337,2360788
1400–1999,38,89.2422617736189,2217753
1400–1999,39,89.21276084577525,2073502
1400–1999,40,89.20752261879986,1954647
1400–1999,41,89.16133329553188,1830212
1400–1999,42,89.1287999409487,1726922
1400–1999,43,89.13848265760656,1620184
1400–1999,44,89.1223474205064,1534364
1400–1999,45,89.08090280783969,1438234
1400–1999,46,89.12248777968264,1364490
1400–1999,47,89.09763292667172,1284485
1400–1999,48,89.05879004130722,1219462
1400–1999,49,89.00658909338235,1152347
1400–1999,50,89.03764040427815,1093543
1400–1999,51,89.04583065218391,1032809
1400–1999,52,89.02054793062695,984508
1400–1999,53,88.97301485712414,930856
1400–1999,54,89.00644376513354,888373
1400–1999,55,88.9808147964729,841661
1400–1999,56,88.98841129555751,801768
1400–1999,57,88.94476628959463,762488
1400–1999,58,88.95783972069046,727527
1400–1999,59,88.94489193129039,691653
1400–1999,60,88.90215619940247,662713
2000+,0,94.73614706862446,62718586
2000+,1,94.31064414024893,94150447
2000+,2,93.72582046045571,62740088
2000+,3,93.25417566197028,34589498
2000+,4,92.99501707382477,23540150
2000+,5,92.7474272935271,17462988
2000+,6,92.51690446390803,13599798
2000+,7,92.31092783311595,10847848
2000+,8,92.1203737692197,8855881
2000+,9,91.97016776796099,7303497
2000+,10,91.83312273885936,6145076
2000+,11,91.7144929052824,5192254
2000+,12,91.61010493485864,4455323
2000+,13,91.50831947591601,3839071
2000+,14,91.44602324065326,3351118
2000+,15,91.37767380949894,2922167
2000+,16,91.27621387160298,2586739
2000+,17,91.2136478328295,2286308
2000+,18,91.1747562382087,2043762
2000+,19,91.10023207051444,1826609
2000+,20,91.05794611070132,1646038
2000+,21,91.0091671769324,1484164
2000+,22,91.01269905985242,1347691
