elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.82373015683771,83434792
1400–1999,1,93.62527373237091,146594231
1400–1999,2,93.178437994733,123698888
1400–1999,3,92.62372372569536,72829763
1400–1999,4,92.31377534525024,50454922
1400–1999,5,92.07130976128512,38622802
1400–1999,6,91.83346974518201,31129709
1400–1999,7,91.62256485759501,25639883
1400–1999,8,91.43831954741916,21535580
1400–1999,9,91.26322632205923,18241258
1400–1999,10,91.10601567027624,15672373
1400–1999,11,90.96853481733898,13510585
1400–1999,12,90.84416658268665,11803056
1400–1999,13,90.72273820734596,10324226
1400–1999,14,90.63581122071322,9129102
1400–1999,15,90.5360911438066,8077939
1400–1999,16,90.42784267691205,7207746
1400–1999,17,90.35406042634959,6441228
1400–1999,18,90.26059105299059,5804613
1400–1999,19,90.20749640901079,5224026
1400–1999,20,90.14731427010906,4745988
1400–1999,21,90.09271963255205,4299037
1400–1999,22,90.02844537618348,3934064
1400–1999,23,89.97572031838315,3589786
1400–1999,24,89.92577044151575,3296080
1400–1999,25,89.87612413853948,3017992
1400–1999,26,89.84649672556671,2785216
1400–1999,27,89.80659385672571,2565481
1400–1999,28,89.7347442422524,2374470
1400–1999,29,89.73185532606631,2191731
1400–1999,30,89.70291496230726,2041755
1400–1999,31,89.66395514620864,1890702
1400–1999,32,89.61844521050855,1764321
1400–1999,33,89.57766166383149,1639723
1400–1999,34,89.58743935612621,1534167
1400–1999,35,89.53618504272704,1428435
1400–1999,36,89.52664426448712,1340597
1400–1999,37,89.46694751308456,1253835
1400–1999,38,89.50972162435376,1183876
1400–1999,39,89.46868905215082,1106546
1400–1999,40,89.45293199317246,1042888
1400–1999,41,89.45694955007211,978330
1400–1999,42,89.36837990336561,925396
1400–1999,43,89.37189538155306,868624
1400–1999,44,89.39311702420518,822787
1400–1999,45,89.36397342300498,775802
1400–1999,46,89.32031175507264,736997
1400–1999,47,89.26668052806912,694839
1400–1999,48,89.31763396833068,657550
1400–1999,49,89.26841762707123,623097
1400–1999,50,89.26715077481077,594218
1400–1999,51,89.2830285169312,561993
1400–1999,52,89.26583009957032,534879
1400–1999,53,89.2137346936532,508187
1400–1999,54,89.24567273024351,485441
1400–1999,55,89.20883632221427,461243
1400–1999,56,89.25204163962603,440806
1400–1999,57,89.20518052592459,417639
1400–1999,58,89.20442868166519,399661
1400–1999,59,89.19989292214501,381227
1400–1999,60,89.22481795535857,364905
2000+,0,94.90818215331915,23258490
2000+,1,94.50645286268637,35769726
2000+,2,93.9361369651572,23076349
2000+,3,93.49528007878477,12360945
2000+,4,93.31203706233403,8365410
2000+,5,93.11909216027817,6172293
2000+,6,92.87312040361445,4769380
2000+,7,92.67089937719027,3777679
2000+,8,92.4857399739264,3064969
2000+,9,92.31708438221195,2512502
2000+,10,92.18384804478895,2103082
2000+,11,92.04499755288515,1770242
2000+,12,91.92647578558542,1511941
2000+,13,91.83417274014633,1298139
2000+,14,91.71967428526953,1126567
2000+,15,91.66455768862862,981098
2000+,16,91.61429820315024,866289
2000+,17,91.5501268880905,763911
2000+,18,91.50926465750885,681665
2000+,19,91.42321688268463,607837
2000+,20,91.35516265759564,546645
2000+,21,91.36087980067461,492005
2000+,22,91.27955248562137,445060
2000+,23,91.28842884042487,403716
2000+,24,91.29456509253215,368909
2000+,25,91.18700294290737,336032
2000+,26,91.22771844670015,308818
2000+,27,91.14615534876226,283491
2000+,28,91.16032398620511,261680
2000+,29,91.15691411235814,241063
2000+,30,91.1535772211026,223471
2000+,31,91.16626512146127,207025
2000+,32,91.17123142512372,193042
2000+,33,91.1203810497916,177997
2000+,34,91.15976729378598,166817
2000+,35,91.10471635782098,154906
2000+,36,91.08606206588706,145552
2000+,37,91.09877816268268,135920
