RatingLevel,TimeCategory,count,total_count,percentage
Expert,UltraBullet,2538056,274247078,0.9254632787737487
Expert,Classic,1379123,274247078,0.5028760962769492
Expert,Blitz,142082365,274247078,51.80816001255627
Expert,Rapid,14328211,274247078,5.22456286662788
Expert,Bullet,113919323,274247078,41.53893774576515
Intermediate,Rapid,142087933,975580403,14.564451332054892
Intermediate,UltraBullet,16362193,975580403,1.6771752435457643
Intermediate,Bullet,319455778,975580403,32.74520244745015
Intermediate,Classic,19557747,975580403,2.0047293836426108
Intermediate,Blitz,478116752,975580403,49.008441593306586
Beginner,Rapid,64410822,377901059,17.044361339035042
Beginner,Classic,6952526,377901059,1.8397741510430645
Beginner,Blitz,188747747,377901059,49.94633979048997
Beginner,Bullet,110937287,377901059,29.356172563676253
Beginner,UltraBullet,6852677,377901059,1.8133521557556684
