RatingLevel,TimeCategory,count,total_count,percentage
Expert,UltraBullet,825067,30814260,2.6775492904908313
Expert,Classic,167429,30814260,0.5433490857804146
Expert,Blitz,14775282,30814260,47.949494811817644
Expert,Rapid,2746674,30814260,8.913645825017378
Expert,Bullet,12299808,30814260,39.91596098689373
Intermediate,UltraBullet,3515778,204885125,1.7159752324625812
Intermediate,Rapid,45006834,204885125,21.96686265047304
Intermediate,Bullet,54998482,204885125,26.843570024910303
Intermediate,Classic,4195875,204885125,2.047915874810336
Intermediate,Blitz,97168156,204885125,47.42567621734374
Beginner,UltraBullet,655567,60546035,1.082757937823674
Beginner,Rapid,15843876,60546035,26.168313086067485
Beginner,Classic,2243018,60546035,3.704648867593064
Beginner,Blitz,29848542,60546035,49.29892106064418
Beginner,Bullet,11955032,60546035,19.74535904787159
