RatingLevel,TimeCategory,count,total_count,percentage
Expert,Blitz,172940618,396517540,43.61487211889795
Expert,UltraBullet,2397700,396517540,0.6046895176440367
Intermediate,UltraBullet,15278038,1293695050,1.1809613092358977
Beginner,Classic,5044042,672283454,0.7502850129641894
Intermediate,Blitz,628019261,1293695050,48.54461343111733
Expert,Rapid,27990312,396517540,7.059035017719519
Intermediate,Classic,14178788,1293695050,1.0959915167024872
Intermediate,Rapid,190102909,1293695050,14.694568785742824
Beginner,UltraBullet,6080530,672283454,0.9044592669686617
Beginner,Bullet,209612972,672283454,31.179254933738115
Intermediate,Bullet,446116054,1293695050,34.48386495720147
Beginner,Blitz,325966669,672283454,48.486492871502385
Expert,Bullet,191908668,396517540,48.39853187831237
Beginner,Rapid,125579241,672283454,18.679507914826655
Expert,Classic,1280242,396517540,0.322871467426132
