RatingLevel,TimeCategory,count,total_count,percentage
Expert,UltraBullet,1504299,48441298,3.1054060524967766
Expert,Classic,331014,48441298,0.6833301617970683
Expert,Blitz,21916386,48441298,45.243184854377766
Expert,Rapid,2541400,48441298,5.2463499223328
Expert,Bullet,22148199,48441298,45.72172900899559
Intermediate,Rapid,51823988,333019940,15.561827318808596
Intermediate,UltraBullet,5518539,333019940,1.6571196907908876
Intermediate,Bullet,107460297,333019940,32.26842722991302
Intermediate,Classic,10734811,333019940,3.2234739457343
Intermediate,Blitz,157482305,333019940,47.2891518147532
Beginner,Rapid,25823254,150022652,17.212903288764686
Beginner,Classic,7686427,150022652,5.12351094820001
Beginner,Blitz,74726909,150022652,49.81041729618271
Beginner,Bullet,40752008,150022652,27.16390322176147
Beginner,UltraBullet,1034054,150022652,0.6892652450911213
