RatingLevel,TimeCategory,count,total_count,percentage
Expert,UltraBullet,2491588,393806857,0.6326928939177917
Expert,Classic,1433499,393806857,0.36401067541594384
Expert,Blitz,207177341,393806857,52.608870901402305
Expert,Rapid,36376254,393806857,9.237079891678981
Expert,Bullet,146328175,393806857,37.157345637584974
Intermediate,Rapid,196900293,1245724473,15.806086921116464
Intermediate,UltraBullet,22686581,1245724473,1.8211555999510336
Intermediate,Bullet,422014396,1245724473,33.8770253893856
Intermediate,Classic,17382197,1245724473,1.3953484399435092
Intermediate,Blitz,586741006,1245724473,47.10038364960339
Beginner,Rapid,102684253,606399080,16.933444720925365
Beginner,Classic,6661198,606399080,1.0984841863546364
Beginner,Blitz,279568817,606399080,46.10310704956874
Beginner,Bullet,205972119,606399080,33.966429995243395
Beginner,UltraBullet,11512693,606399080,1.8985340479078565
