RatingLevel,TimeCategory,count,total_count,percentage
Expert,UltraBullet,1503138,102113532,1.4720262540717914
Expert,Classic,729149,102113532,0.7140571731472377
Expert,Blitz,44282569,102113532,43.36601440835481
Expert,Rapid,3645627,102113532,3.570170308084143
Expert,Bullet,51953049,102113532,50.87773185634201
Intermediate,Rapid,65756995,515231569,12.762609854754455
Intermediate,UltraBullet,6233461,515231569,1.209836775354889
Intermediate,Bullet,182261924,515231569,35.37475864566055
Intermediate,Classic,19555757,515231569,3.7955277154222666
Intermediate,Blitz,241423432,515231569,46.85726700880784
Beginner,Rapid,35480682,256334817,13.841538350211707
Beginner,Classic,12873104,256334817,5.021988097699579
Beginner,Blitz,128618785,256334817,50.1760886426911
Beginner,Bullet,77951395,256334817,30.409991085994374
Beginner,UltraBullet,1410851,256334817,0.5503938234032406
