year;elo_band;time_bin;game_stage;avg_accuracy;n_moves
2017;beginner;39;middle;8,83168E+13;70436
2017;beginner;40;beginning;8,8417E+15;45618
2017;beginner;40;end;8,95803E+15;28252
2017;beginner;40;middle;8,82771E+15;65573
2017;beginner;41;beginning;8,82487E+15;42675
2017;beginner;41;end;8,90876E+15;26249
2017;beginner;41;middle;8,81108E+15;60849
2017;beginner;42;beginning;8,82389E+15;39548
2017;beginner;42;end;8,92708E+15;24338
2017;beginner;42;middle;8,81918E+15;57298
2017;beginner;43;beginning;8,82891E+15;37306
2017;beginner;43;end;8,92787E+14;22520
2017;beginner;43;middle;8,82728E+14;53100
2017;beginner;44;beginning;8,83789E+15;34461
2017;beginner;44;end;8,90164E+15;21658
2017;beginner;44;middle;8,82665E+15;49701
2017;beginner;45;beginning;8,81134E+15;32142
2017;beginner;45;end;8,90007E+15;19856
2017;beginner;45;middle;8,78142E+15;46399
2017;beginner;46;beginning;8,80597E+14;29948
2017;beginner;46;end;8,91044E+15;18882
2017;beginner;46;middle;8,77763E+15;43825
2017;beginner;47;beginning;8,84176E+15;28047
2017;beginner;47;end;8,88017E+15;17582
2017;beginner;47;middle;8,79084E+15;40740
2017;beginner;48;beginning;8,82041E+15;26203
2017;beginner;48;end;8,89441E+14;16193
2017;beginner;48;middle;8,78334E+15;38479
2017;beginner;49;beginning;8,82388E+14;24652
2017;beginner;49;end;8,89104E+15;15468
2017;beginner;49;middle;8,80199E+14;36288
2017;beginner;50;beginning;8,81316E+15;23245
2017;beginner;50;end;8,89059E+15;14403
2017;beginner;50;middle;8,78074E+15;33940
2017;beginner;51;beginning;8,81704E+15;21606
2017;beginner;51;end;8,85925E+15;13535
2017;beginner;51;middle;8,79366E+15;32163
2017;beginner;52;beginning;8,79247E+15;20446
2017;beginner;52;end;8,88988E+15;12834
2017;beginner;52;middle;8,77925E+15;29899
2017;beginner;53;beginning;8,84551E+15;19059
2017;beginner;53;end;8,84361E+15;12050
2017;beginner;53;middle;8,80259E+15;28317
2017;beginner;54;beginning;8,79611E+15;18256
2017;beginner;54;end;8,89202E+15;11377
2017;beginner;54;middle;8,79557E+15;26377
2017;beginner;55;beginning;8,78452E+15;17094
2017;beginner;55;end;8,89922E+15;10523
2017;beginner;55;middle;8,77283E+14;25286
2017;beginner;56;beginning;8,80308E+15;16264
2017;beginner;56;end;8,87095E+15;10107
2017;beginner;56;middle;8,77481E+15;23719
2017;beginner;57;beginning;8,80515E+15;15165
2017;beginner;57;end;8,9012E+15;9408
2017;beginner;57;middle;8,77677E+15;22635
2017;beginner;58;beginning;8,80827E+15;13995
2017;beginner;58;end;8,89041E+15;9109
2017;beginner;58;middle;8,79006E+15;21488
2017;beginner;59;beginning;8,8067E+14;13576
2017;beginner;59;end;8,8585E+15;8375
2017;beginner;59;middle;8,78384E+15;19903
2017;beginner;60;beginning;8,78822E+15;12938
2017;beginner;60;end;8,83206E+13;7939
2017;beginner;60;middle;8,80149E+15;18971
2017;expert;0;beginning;9,57322E+15;3565214
2017;expert;0;end;9,46487E+14;3445693
2017;expert;0;middle;9,45098E+15;2109412
2017;expert;1;beginning;9,5837E+15;5520962
2017;expert;1;end;9,45927E+15;4427614
2017;expert;1;middle;9,40873E+15;3792010
2017;expert;2;beginning;9,55279E+15;3269386
2017;expert;2;end;9,42421E+14;2704498
2017;expert;2;middle;9,3916E+15;2999773
2017;expert;3;beginning;9,52408E+14;1665769
2017;expert;3;end;9,38969E+15;1426316
2017;expert;3;middle;9,36774E+15;1797771
2017;expert;4;beginning;9,51455E+15;1088093
2017;expert;4;end;9,37914E+15;945000
2017;expert;4;middle;9,36653E+15;1291337
2017;expert;5;beginning;9,50235E+15;788226
2017;expert;5;end;9,36668E+15;684024
2017;expert;5;middle;9,35872E+15;997051
2017;expert;6;beginning;9,48656E+13;597050
2017;expert;6;end;9,34444E+15;519505
2017;expert;6;middle;9,33663E+15;798501
2017;expert;7;beginning;9,46918E+15;465120
2017;expert;7;end;9,32686E+13;403016
2017;expert;7;middle;9,319E+15;648476
2017;expert;8;beginning;9,45581E+14;372449
2017;expert;8;end;9,31029E+15;321161
2017;expert;8;middle;9,30555E+14;539491
2017;expert;9;beginning;9,4436E+15;303573
2017;expert;9;end;9,29733E+15;260184
2017;expert;9;middle;9,28984E+14;451174
2017;expert;10;beginning;9,42802E+15;251453
2017;expert;10;end;9,28191E+15;214896
2017;expert;10;middle;9,26932E+14;383300
2017;expert;11;beginning;9,41862E+15;211262
2017;expert;11;end;9,26341E+15;179038
2017;expert;11;middle;9,26429E+15;328114
2017;expert;12;beginning;9,40525E+15;181268
2017;expert;12;end;9,25648E+15;151954
2017;expert;12;middle;9,24883E+14;282868
2017;expert;13;beginning;9,40167E+15;155887
2017;expert;13;end;9,25047E+15;129382
2017;expert;13;middle;9,23886E+15;245878
2017;expert;14;beginning;9,39642E+14;135743
2017;expert;14;end;9,23806E+15;110995
2017;expert;14;middle;9,23192E+15;217175
2017;expert;15;beginning;9,38897E+15;118511
2017;expert;15;end;9,23061E+15;96363
2017;expert;15;middle;9,2263E+15;190703
2017;expert;16;beginning;9,38118E+14;104028
2017;expert;16;end;9,2283E+15;85394
2017;expert;16;middle;9,2204E+15;170295
2017;expert;17;beginning;9,36873E+15;92246
2017;expert;17;end;9,22476E+15;74775
2017;expert;17;middle;9,20623E+15;151540
2017;expert;18;beginning;9,37489E+14;83012
2017;expert;18;end;9,20532E+15;66294
2017;expert;18;middle;9,20731E+12;136459
2017;expert;19;beginning;9,37455E+15;74419
2017;expert;19;end;9,21467E+15;59015
2017;expert;19;middle;9,20227E+14;122016
2017;expert;20;beginning;9,36287E+14;66434
2017;expert;20;end;9,21295E+15;52564
2017;expert;20;middle;9,20174E+15;111141
2017;expert;21;beginning;9,36016E+15;60450
2017;expert;21;end;9,19264E+15;47215
2017;expert;21;middle;9,19741E+15;100356
2017;expert;22;beginning;9,35627E+15;54735
2017;expert;22;end;9,1793E+15;42654
2017;expert;22;middle;9,18986E+14;91494
2017;expert;23;beginning;9,35533E+15;50076
2017;expert;23;end;9,18756E+15;39067
2017;expert;23;middle;9,18502E+14;83642
2017;expert;24;beginning;9,35966E+13;45747
2017;expert;24;end;9,17183E+15;35627
2017;expert;24;middle;9,17264E+15;77134
2017;expert;25;beginning;9,34959E+15;42089
2017;expert;25;end;9,20542E+15;31956
2017;expert;25;middle;9,17709E+15;70004
2017;expert;26;beginning;9,34583E+14;38592
2017;expert;26;end;9,18355E+15;29731
2017;expert;26;middle;9,18523E+15;64724
2017;expert;27;beginning;9,34593E+15;35473
2017;expert;27;end;9,1549E+15;27369
2017;expert;27;middle;9,17553E+15;60030
2017;expert;28;beginning;9,33351E+15;32739
2017;expert;28;end;9,16446E+15;25157
2017;expert;28;middle;9,16517E+15;55809
2017;expert;29;beginning;9,35078E+15;30631
2017;expert;29;end;9,17366E+15;23178
2017;expert;29;middle;9,16335E+14;51370
2017;expert;30;beginning;9,34692E+15;28139
2017;expert;30;end;9,1631E+15;21227
2017;expert;30;middle;9,17264E+15;47845
2017;expert;31;beginning;9,34812E+15;26424
2017;expert;31;end;9,16012E+15;19580
2017;expert;31;middle;9,15784E+14;44947
2017;expert;32;beginning;9,34644E+15;24391
2017;expert;32;end;9,14232E+15;18132
2017;expert;32;middle;9,1543E+15;41585
2017;expert;33;beginning;9,34227E+14;22734
2017;expert;33;end;9,17367E+15;16886
2017;expert;33;middle;9,16072E+15;38760
2017;expert;34;beginning;9,33403E+15;21791
2017;expert;34;end;9,15412E+14;15651
2017;expert;34;middle;9,15499E+15;36633
2017;expert;35;beginning;9,32554E+14;20328
2017;expert;35;end;9,14799E+15;14528
2017;expert;35;middle;9,1432E+15;33786
2017;expert;36;beginning;9,33387E+15;18793
2017;expert;36;end;9,15307E+15;13684
2017;expert;36;middle;9,14793E+15;32158
2017;expert;37;beginning;9,32967E+15;17617
2017;expert;37;end;9,12868E+15;12990
2017;expert;37;middle;9,14515E+15;30137
2017;expert;38;beginning;9,32869E+15;16559
2017;expert;38;end;9,17697E+15;12199
2017;expert;38;middle;9,14833E+15;28265
2017;expert;39;beginning;9,32724E+15;15724
2017;expert;39;end;9,13619E+15;11214
2017;expert;39;middle;9,16528E+15;26631
2017;expert;40;beginning;9,309E+15;14559
2017;expert;40;end;9,16816E+15;10702
2017;expert;40;middle;9,13726E+14;24967
2017;expert;41;beginning;9,34694E+15;14039
2017;expert;41;end;9,11865E+15;9720
2017;expert;41;middle;9,14066E+15;23408
2017;expert;42;beginning;9,33412E+14;13245
2017;expert;42;end;9,17408E+15;9395
2017;expert;42;middle;9,13214E+15;22085
2017;expert;43;beginning;9,33141E+15;12439
2017;expert;43;end;9,16336E+15;8589
2017;expert;43;middle;9,13367E+15;21148
2017;expert;44;beginning;9,33185E+15;11862
2017;expert;44;end;9,12046E+15;8580
2017;expert;44;middle;9,15092E+14;19947
2017;expert;45;beginning;9,34056E+14;11129
2017;expert;45;end;9,1263E+15;7799
2017;expert;45;middle;9,15072E+15;19074
2017;expert;46;beginning;9,33232E+15;10748
2017;expert;46;end;9,13642E+15;7406
2017;expert;46;middle;9,16906E+15;17808
2017;expert;47;beginning;9,3286E+15;10085
2017;expert;47;end;9,16869E+14;7018
2017;expert;47;middle;9,14954E+15;16815
2017;expert;48;beginning;9,31146E+15;9526
2017;expert;48;end;9,11088E+15;6678
2017;expert;48;middle;9,12158E+15;16236
2017;expert;49;beginning;9,30576E+15;9260
2017;expert;49;end;9,12048E+15;6355
2017;expert;49;middle;9,13834E+15;15177
2017;expert;50;beginning;9,32664E+15;8751
2017;expert;50;end;9,16338E+15;5865
2017;expert;50;middle;9,13706E+15;14269
2017;expert;51;beginning;9,32037E+15;8098
2017;expert;51;end;9,14028E+15;5460
2017;expert;51;middle;9,1406E+15;13791
2017;expert;52;beginning;9,28844E+15;7731
2017;expert;52;end;9,13964E+14;5353
2017;expert;52;middle;9,13833E+15;13147
2017;expert;53;beginning;9,33614E+15;7369
2017;expert;53;end;9,10395E+15;5158
2017;expert;53;middle;9,15935E+15;12493
2017;expert;54;beginning;9,33492E+15;7290
2017;expert;54;end;9,14997E+15;4677
2017;expert;54;middle;9,14775E+15;11930
2017;expert;55;beginning;9,30795E+15;6839
2017;expert;55;end;9,12219E+15;4629
2017;expert;55;middle;9,12737E+15;11362
2017;expert;56;beginning;9,32198E+15;6503
2017;expert;56;end;9,10912E+14;4428
2017;expert;56;middle;9,13119E+15;11092
2017;expert;57;beginning;9,32605E+15;6225
2017;expert;57;end;9,14588E+15;4198
2017;expert;57;middle;9,15336E+15;10480
2017;expert;58;beginning;9,31583E+15;5973
2017;expert;58;end;9,09015E+15;4018
2017;expert;58;middle;9,1371E+15;10026
2017;expert;59;beginning;9,32412E+15;5674
2017;expert;59;end;9,11403E+15;3817
2017;expert;59;middle;9,12137E+15;9562
2017;expert;60;beginning;9,30145E+15;5474
2017;expert;60;end;9,06142E+15;3706
2017;expert;60;middle;9,13325E+15;9029
2017;intermediate;0;beginning;9,46933E+15;16428076
2017;intermediate;0;end;9,35045E+14;11578485
2017;intermediate;0;middle;9,35544E+15;9737471
2017;intermediate;1;beginning;9,47397E+15;28238308
2017;intermediate;1;end;9,37579E+14;19573814
2017;intermediate;1;middle;9,32991E+15;20216163
2017;intermediate;2;beginning;9,43714E+15;20691314
2017;intermediate;2;end;9,36404E+15;15890561
2017;intermediate;2;middle;9,30265E+14;19699394
2017;intermediate;3;beginning;9,39155E+14;11357546
2017;intermediate;3;end;9,33018E+15;9060378
2017;intermediate;3;middle;9,26026E+14;12284790
